"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"3";"8.0";"mei";"Wellington Rato";"mei";"8.96";"263";"0,54";"0,06";"3.1";"0,35";"2,56";"0.65"
"3";"8.0";"mei";"André";"mei";"7.64";"285";"0,04";"0,00";"-3.1";"-0,41";"-3,14";"0.05"
"3";"12.0";"mei";"Paulinho";"mei";"11.49";"275";"2,22";"0,19";"0.4";"0,03";"-1,82";"0.75"
"3";"12.0";"mei";"Edenílson";"mei";"11.46";"266";"1,87";"0,16";"5.3";"0,46";"3,43";"1.0"
"3";"12.0";"mei";"Everton";"mei";"11.61";"286";"1,73";"0,15";"0.3";"0,03";"-1,43";"0.5"
"3";"12.0";"mei";"Terans";"mei";"10.01";"262";"0,96";"0,10";"-0.2";"-0,02";"-1,16";"0.25"
"3";"4.0";"ata";"Dadá Belmonte";"ata";"3.67";"314";"2,55";"0,70";"-1.8";"-0,49";"-4,35";"0.07692307692307693"
"3";"4.0";"ata";"Helinho";"ata";"4.5";"276";"2,49";"0,55";"2.1";"0,47";"-0,39";"0.6923076923076923"
"3";"4.0";"ata";"Léo Pereira";"ata";"5.27";"263";"2,38";"0,45";"11.3";"2,14";"8,92";"1.0"
"3";"4.0";"ata";"Bissoli";"ata";"5.73";"290";"2,14";"0,37";"2.2";"0,38";"0,06";"0.7692307692307693"
"3";"4.0";"ata";"Marcelo Cirino";"ata";"4.73";"262";"1,82";"0,38";"0.0";"0,00";"-1,82";"0.15384615384615385"
"3";"4.0";"ata";"Carlos de Pena";"ata";"4.11";"266";"1,60";"0,39";"1.4";"0,34";"-0,20";"0.5384615384615384"
"3";"4.0";"ata";"Copete";"ata";"3.19";"290";"1,52";"0,48";"1.8";"0,56";"0,28";"0.6153846153846154"
"3";"4.0";"ata";"Canobbio";"ata";"4.69";"262";"1,47";"0,31";"0.9";"0,19";"-0,57";"0.46153846153846156"
"3";"4.0";"ata";"Clayton";"ata";"2.78";"282";"0,91";"0,33";"0.5";"0,18";"-0,41";"0.38461538461538464"
"3";"4.0";"ata";"Vitinho";"ata";"3.6";"262";"0,83";"0,23";"2.6";"0,72";"1,77";"0.8461538461538461"
"3";"4.0";"ata";"André Luís";"ata";"3.89";"286";"0,45";"0,12";"0.0";"0,00";"-0,45";"0.3076923076923077"
"3";"4.0";"ata";"Zé Roberto";"ata";"5.46";"356";"0,36";"0,07";"0.0";"0,00";"-0,36";"0.23076923076923078"
