"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"4","4.0","mei","Danilo","mei","5.97","262","1.32","0.22","0.9","0.15","-0.42","22"
"4","4.0","mei","Erick","mei","6.0","327","1.32","0.22","0.6","0.10","-0.72","23"
"4","4.0","mei","Pepê","mei","5.01","373","1.21","0.24","3.6","0.72","2.39","7"
"4","4.0","mei","Eric Ramires","mei","4.07","354","1.07","0.26","2.2","0.54","1.13","12"
"4","4.0","mei","Eduardo","mei","3.91","285","1.03","0.26","3.1","0.79","2.07","10"
"4","4.0","mei","Rodrigo Lindoso","mei","3.79","280","0.95","0.25","1.3","0.34","0.35","18"
"4","4.0","mei","Vina","mei","3.84","280","0.95","0.25","1.8","0.47","0.85","13"
"4","4.0","mei","Zé Ricardo","mei","2.14","293","0.92","0.43","0.0","0.00","-0.92","28"
"4","4.0","mei","Matheus Fernandes","mei","3.83","327","0.88","0.23","5.6","1.46","4.72","3"
"4","4.0","mei","Rodrigo Fernández","mei","4.8","276","0.85","0.18","3.2","0.67","2.35","9"
"4","4.0","mei","Richard Coelho","mei","5.99","280","0.78","0.13","0.4","0.07","-0.38","24"
"4","4.0","mei","Renato Augusto","mei","5.36","356","0.75","0.14","11.1","2.07","10.35","1"
"4","4.0","mei","Du Queiroz","mei","3.69","356","0.73","0.20","5.5","1.49","4.77","4"
"4","4.0","mei","Yuri Lima","mei","4.45","263","0.72","0.16","0.4","0.09","-0.32","25"
"4","4.0","mei","Juninho","mei","5.69","293","0.72","0.13","1.7","0.30","0.98","14"
